City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mersing,76,MY,1584295988,83,2.43,103.84,82.4,9.17
mangaratiba,20,BR,1584296162,47,-22.96,-44.04,95,8.05
naranjal,75,EC,1584296162,66,-2.67,-79.62,89.01,5.82
la ciotat,0,FR,1584296163,54,43.17,5.6,57.2,10.29
luderitz,0,NA,1584295981,56,-26.65,15.16,73.4,19.46
kruisfontein,100,ZA,1584295998,90,-34,24.73,60.96,6.53
wadi musa,64,JO,1584296163,79,30.32,35.48,57.18,0.89
palu,60,ID,1584295991,94,-0.89,119.87,66.9,2.21
caraquet,1,CA,1584296164,42,47.79,-64.94,32,12.75
linhares,29,BR,1584295705,66,-19.39,-40.07,84.18,7.63
jaypur,92,IN,1584296164,57,18.85,82.58,78.06,3.49
atar,0,MR,1584296164,9,20.52,-13.05,86.88,12.01
churapcha,90,RU,1584296164,96,62,132.43,-6.72,7.61
albufeira,20,PT,1584296165,72,37.09,-8.25,64.99,13.87
huarmey,47,PE,1584296165,46,-10.07,-78.15,85.26,11.1
savannah bight,50,HN,1584296165,78,16.45,-85.85,79.68,13.04
samarai,98,PG,1584296165,84,-10.62,150.67,75.18,4.05
port jervis,1,US,1584296165,25,41.38,-74.69,53.01,11.41
guacara,21,VE,1584296166,24,10.23,-67.88,90.3,8.46
el sauzal,30,MX,1584296166,74,31.9,-116.68,64,1.99
chancay,40,PE,1584296166,65,-11.57,-77.27,80.6,6.93
connersville,90,US,1584296166,86,39.64,-85.14,44.01,9.17
axim,99,GH,1584295989,75,4.87,-2.24,83.1,7.31
phulabani,100,IN,1584296167,82,20.47,84.23,71.58,3.71
asmara,19,ER,1584296167,71,15.33,38.93,61.5,3.85
columbia,20,US,1584295943,60,34,-81.03,70,3.36
barcelos,40,PT,1584296093,71,41.54,-8.62,51.8,12.75
qadirpur ran,40,PK,1584296167,77,30.29,71.67,66.2,4.16
naze,0,JP,1584295788,55,28.37,129.48,60.8,19.46
port lincoln,25,AU,1584295986,76,-34.73,135.87,63.48,12.68
madang,100,PG,1584296168,85,-5.22,145.8,77.7,13.98
shizunai,99,JP,1584296168,69,42.33,142.37,22.62,3.38
presidencia roque saenz pena,93,AR,1584295880,56,-26.79,-60.44,87.24,6.02
santa rosalia,48,MX,1584296169,33,27.32,-112.28,66.9,2.37
winburg,0,ZA,1584296169,36,-28.52,27.01,69.06,5.55
nishihara,20,JP,1584295992,55,26.18,127.76,60.8,14.99
mujiayingzi,33,CN,1584296169,26,42.12,118.78,22.62,6.82
rocha,98,UY,1584296170,55,-34.48,-54.33,70.32,11.07
monywa,67,MM,1584296170,27,22.12,95.13,82.38,7.56
mega,97,ET,1584296170,74,4.05,38.3,71.22,7.63
gerede,100,TR,1584296170,96,40.8,32.2,36.12,6.26
samana,75,DO,1584296171,83,19.21,-69.34,80.6,4.7
hearst,45,CA,1584296171,80,49.68,-83.67,18.66,0.74
labytnangi,85,RU,1584296171,99,66.66,66.42,-5.1,1.23
brae,98,GB,1584296171,69,60.4,-1.35,39.2,13.87
abonnema,20,NG,1584296172,47,4.71,6.79,95,5.82
oksfjord,42,NO,1584296172,62,70.24,22.35,23,10.29
khor,74,RU,1584296172,97,47.89,134.95,3,6.04
henties bay,0,NA,1584296172,92,-22.12,14.28,62.01,1.01
shenzhen,20,CN,1584295674,72,22.55,114.07,70,10.29
quelimane,20,MZ,1584296173,78,-17.88,36.89,82.4,6.93
luanda,40,AO,1584295986,74,-8.84,13.23,84.2,14.99
hambantota,0,LK,1584295975,80,6.12,81.12,80.76,14.7
tungor,50,RU,1584296173,92,53.38,142.96,-3.12,11.7
safaga,0,EG,1584296173,73,26.73,33.94,69.8,3.27
kavieng,100,PG,1584295811,70,-2.57,150.8,84.54,7.74
sur,99,OM,1584295997,69,22.57,59.53,69.42,8.3
muroto,47,JP,1584295996,76,33.28,134.15,37.02,10.33
ayr,40,GB,1584296175,81,55.46,-4.63,46.4,14.99
macheng,70,CN,1584296175,50,31.18,115.03,55.38,3.06
siva,0,EG,1584296175,32,29.2,25.52,71.76,1.54
kiunga,92,PG,1584296175,99,-6.12,141.29,73.2,2.98
nyurba,100,RU,1584295983,95,63.28,118.33,29.46,6.6
petropavlovsk-kamchatskiy,90,RU,1584295812,93,53.05,158.65,35.6,26.84
tokmak,29,UA,1584296176,38,47.25,35.71,33.24,10.8
puerto maldonado,100,PE,1584296176,55,-12.6,-69.18,90.3,0.81
igrim,94,RU,1584296176,92,63.19,64.42,6.42,9.73
balad,56,IQ,1584296177,60,34.02,44.15,67.08,3.71
bitam,37,GA,1584296177,79,2.08,11.5,76.62,4.38
acarau,57,BR,1584296177,81,-2.89,-40.12,83.64,6.38
hinton,0,CA,1584296177,71,53.4,-117.59,15.24,4.72
constantine,75,DZ,1584296129,72,36.37,6.61,62.6,12.75
opuwo,70,NA,1584296178,45,-18.06,13.84,79.32,1.01
prince rupert,1,CA,1584296168,55,54.32,-130.32,35.6,4.54
northam,20,GB,1584296178,76,51.03,-4.22,48.2,5.82
provost,43,CA,1584296178,90,52.35,-110.27,1.92,6.26
sao gabriel da cachoeira,90,BR,1584296178,94,-0.13,-67.09,82.4,5.82
ondangwa,57,NA,1584296179,45,-17.92,15.95,83.1,6.69
moron,40,AR,1584296101,60,-34.65,-58.62,78.01,4.7
magugu,48,TZ,1584296179,82,-4.02,35.77,71.22,3.42
port blair,16,IN,1584295990,73,11.67,92.75,82.74,11.61
rio gallegos,75,AR,1584296180,42,-51.62,-69.22,68,12.75
smithers,20,CA,1584295988,55,54.78,-127.17,8.6,8.05
erzin,40,TR,1584296180,77,36.96,36.2,63,9.17
nanzhang,94,CN,1584296180,45,31.78,111.84,59.34,2.01
mach,97,PK,1584296181,43,29.86,67.33,59.34,1.5
clonakilty,20,IE,1584295951,65,51.62,-8.87,44.6,16.11
dhidhdhoo,2,MV,1584295997,72,6.88,73.1,84,5.84
ofaqim,48,IL,1584296181,79,31.31,34.62,63,6.42
drovyanaya,100,RU,1584296181,64,51.58,113.03,33.8,13.42
longhua,66,CN,1584296182,81,23.61,114.19,62.58,1.1
inhambane,20,MZ,1584296182,74,-23.86,35.38,80.6,4.7
tunduma,100,TZ,1584296183,92,-9.3,32.77,65.46,2.33
kichera,100,RU,1584296183,97,55.94,110.1,21.72,2.28
rio grande,90,BR,1584295921,69,-32.03,-52.1,79,9.17
the valley,20,AI,1584295951,54,18.22,-63.06,82.4,10.29
whitehorse,20,CA,1584295899,77,60.72,-135.05,19,3.36
kunda,82,IN,1584296184,40,25.72,81.52,69.96,5.57
rongcheng,89,CN,1584296184,73,30.63,117.85,52,2.26
brasileia,75,BR,1584296184,70,-11.02,-68.75,89.6,3.36
kokopo,100,PG,1584296185,77,-4.35,152.26,82.56,9.19
nioro,29,GM,1584296009,10,13.35,-15.75,100.56,11.21
san pedro,40,PH,1584296185,74,14.35,121.02,80.6,3.36
havelock,90,US,1584295983,87,34.88,-76.9,52,13.87
jinxiang,3,CN,1584296186,71,22.86,115.7,62.58,2.62
jiangyin,100,CN,1584296186,63,31.93,120.31,52,1.99
nanchong,100,CN,1584296187,66,30.8,106.08,56.1,6.2
bijapur,64,IN,1584296187,26,16.83,75.7,86.34,11.95
bytow,86,PL,1584296188,44,54.17,17.49,41,16.11
quetta,86,PK,1584296188,59,30.2,67.01,48.54,4.38
necochea,0,AR,1584296002,63,-38.55,-58.74,71.01,7
okhotsk,97,RU,1584296189,98,59.38,143.3,-1.32,2.1
mindelo,20,CV,1584296190,61,16.89,-24.98,77,31.09
ambon,40,ID,1584296190,94,-3.7,128.18,77,4.7
brindisi,30,IT,1584296190,76,40.58,17.67,55.4,14.99
vangaindrano,88,MG,1584295983,95,-23.35,47.6,72.66,1.48
disa,84,IN,1584296191,22,24.25,72.17,73.92,11.1
altamont,90,US,1584296191,69,42.21,-121.74,37,8.05
saint-francois,1,FR,1584296009,47,46.42,3.91,59,14.99
karratha,7,AU,1584295758,81,-20.74,116.85,83.82,17.78
seoul,1,KR,1584296162,74,37.57,126.98,33.8,1.12
sept-iles,90,CA,1584295919,57,50.2,-66.38,23,11.41
clyde river,40,CA,1584296192,75,70.47,-68.59,-18.4,12.75
sarakhs,100,IR,1584296192,42,36.54,61.16,68,6.93
taltal,7,CL,1584296192,67,-25.4,-70.48,67.08,6.76
pierre,90,US,1584296193,76,44.37,-100.35,35.01,20.8
san carlos,61,VE,1584296193,18,9.66,-68.58,105.24,5.21
machachi,75,EC,1584296193,52,-0.5,-78.57,71.6,5.82
sulangan,0,PH,1584296194,81,11.14,123.72,78.96,16.4
pergamino,78,AR,1584296194,54,-33.89,-60.57,77,3
bandarbeyla,0,SO,1584295993,77,9.49,50.81,79.68,12.17
sungaipenuh,71,ID,1584296194,98,-2.08,101.38,62.94,2.89
ambulu,10,ID,1584295976,84,-8.35,113.61,80.04,7.67
oktyabrskoye,90,RU,1584296194,100,43.06,44.74,41,2.24
salinopolis,100,BR,1584296195,87,-0.61,-47.36,78.24,5.82
kathu,20,TH,1584296195,69,7.92,98.33,82.4,6.93
ilek,83,RU,1584296195,82,51.53,53.38,40.98,10.2
padang,72,ID,1584295979,92,-0.95,100.35,69.6,5.35
sembakung,42,ID,1584296196,79,3.82,117.25,75.18,5.64
lodja,99,CD,1584296196,89,-3.48,23.43,74.64,1.86
witu,69,KE,1584296196,80,-2.39,40.44,82.74,11.86
bongouanou,86,CI,1584296196,77,6.65,-4.2,81.48,4.03
kita,59,ML,1584296196,6,13.03,-9.49,100.02,3.78
itoman,20,JP,1584295977,55,26.12,127.67,60.8,14.99
chateauroux,70,FR,1584295907,48,46.82,1.7,62.6,6.93
new iberia,40,US,1584296197,65,30,-91.82,82.99,6.44
west wendover,75,US,1584295975,40,40.74,-114.07,53.6,17.22
ballina,82,AU,1584296006,82,-28.87,153.57,62.6,8.05
klyuchi,100,RU,1584296198,86,52.27,79.17,36.3,15.39
